SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9257 Helix Mesa Way,Casa de Oro,CA,91977,799990,5,4.0,Mount Helix,3181,11362,2018,10,251,137,Active,,,http://www.redfin.com/CA/Casa-De-Oro-Mount-Helix/9257-Helix-Mesa-Way-91977/home/148537355,SDMLS,180068179,N,Y,32.7512423,-116.9959357
MLS Listing,,Single Family Residential,9221 Helix Mesa Way,Casa de Oro,CA,91977,799990,5,3.5,Mount Helix,2954,11710,2018,87,271,137,Active,,,http://www.redfin.com/CA/Casa-de-Oro-Mount-Helix/9221-Helix-Mesa-Way-91977/home/147423957,SDMLS,180055966,N,Y,32.7512423,-116.9959357
MLS Listing,,Single Family Residential,1796 Rancho Cajon Pl,El Cajon,CA,92019,799900,3,2.0,ELC - El Cajon,2189,15600,1962,32,365,,Active,,,http://www.redfin.com/CA/El-Cajon/1796-Rancho-Cajon-Pl-92019/home/5686066,CRMLS,SW18281580,N,Y,32.8053702,-116.913923
MLS Listing,,Single Family Residential,7367 New Salem St,San Diego,CA,92126,799900,4,3.0,Mira Mesa,1871,,1985,19,428,,Active,,,http://www.redfin.com/CA/San-Diego/7367-New-Salem-St-92126/home/4588794,SDMLS,180067186,N,Y,32.9148864,-117.1630781
MLS Listing,,Single Family Residential,72 F St,Chula Vista,CA,91910,799900,4,3.5,Chula Vista,2269,11300,1975,1,353,,Active,,,http://www.redfin.com/CA/Chula-Vista/72-F-St-91910/home/5956820,SDMLS,180068796,N,Y,32.643293,-117.070192
MLS Listing,,Single Family Residential,6511 Foyle Way,San Diego,CA,92117,799900,4,2.0,Clairemont,1663,8800,1964,10,481,,Active,,,http://www.redfin.com/CA/San-Diego/6511-Foyle-Way-92117/home/4968691,SDMLS,180068268,N,Y,32.8242841,-117.1681556
MLS Listing,,Single Family Residential,251 CAMINO ELEVADO,Bonita,CA,91902,799900,4,2.0,Bonita,2010,17975,1966,59,398,,Active,,,http://www.redfin.com/CA/Bonita/251-Camino-Elevado-91902/home/6074763,SDMLS,180061403,N,Y,32.6570311,-117.0270565
MLS Listing,,Single Family Residential,275 Hihill Way,El Cajon,CA,92020,799000,4,2.5,El Cajon,2800,27007,1974,74,285,,Active,,,http://www.redfin.com/CA/El-Cajon/275-Hihill-Way-92020/home/17140543,SDMLS,180058528,N,Y,32.7935936,-116.986139
MLS Listing,,Single Family Residential,6535 Burgundy St,San Diego,CA,92120,799000,4,2.5,San Diego,2424,9000,1958,85,330,,Active,,,http://www.redfin.com/CA/San-Diego/6535-Burgundy-St-92120/home/5429876,SDMLS,180056256,N,Y,32.7916284,-117.0926239
MLS Listing,,Single Family Residential,341 E 30th St,National City,CA,91950,799000,4,1.0,South Sd,1128,11513,1925,11,708,,Active,,,http://www.redfin.com/CA/National-City/341-E-30th-St-91950/home/5931646,SDMLS,180068118,Y,Y,32.6581437,-117.0957496
MLS Listing,,Single Family Residential,5930 Quiet Slope Dr,San Diego,CA,92120,799000,5,2.5,Del Cerro,2565,8700,1973,35,312,,Active,,,http://www.redfin.com/CA/San-Diego/5930-Quiet-Slope-Dr-92120/home/5412924,SDMLS,180064874,N,Y,32.8034236,-117.0652722
